"id","boro_ct2000","median_hh_income"
1763,"1026500","28553"
2119,"1026700","19947"
10,"1026900","22279"
1976,"1027100","32168"
1977,"1027300","46418"
2033,"1027500","55865"
11,"1027700","25087"
1775,"1027900","30387"
1887,"1028100","48433"
1565,"1028300","26238"
1566,"1028500","21023"
2043,"1028700","29613"
1562,"1028900","23272"
1563,"1029100","21826"
672,"1029300","21678"
1978,"1029500","35069"
1979,"1029700","0"
1478,"1030100","0"
1751,"1030300","38149"
1479,"1030700","47994"
1268,"1030900","25754"
2191,"1031100","0"
2029,"1031300","75625"
1942,"1031500","56250"
1798,"1031701","107611"
2126,"1031702","0"
1799,"1031900","81251"
1698,"2000100","0"
1873,"2000200","42539"
1875,"2000400","39013"
30,"2000500","0"
990,"2001100","25588"
1111,"2001500","26250"
1492,"2001600","24552"
1937,"2001700","21283"
1598,"2002000","14691"
1055,"2002300","14112"
1856,"2002400","0"
1980,"2002500","12221"
1990,"2002701","12898"
1991,"2002702","12654"
1857,"2002800","34234"
814,"2003100","27330"
21,"2003300","11322"
22,"2003500","18736"
1493,"2003600","29375"
2007,"2003700","23750"
23,"2003800","47647"
1981,"2003900","15893"
24,"2004001","29545"
667,"2004002","0"
1943,"2004100","12970"
2008,"2004300","19434"
1239,"2004400","13185"
862,"2004600","17976"
1944,"2004700","11817"
25,"2004800","19023"
1454,"2004900","25662"
859,"2005000","20385"
815,"2005200","13826"
2034,"2005301","0"
1696,"2005302","15527"
1000,"2005400","21282"
2005,"2005600","12604"
1951,"2005700","32279"
1820,"2005800","6250"
2136,"2005901","23138"
2110,"2005902","33256"
1845,"2006000","30242"
943,"2006100","30469"
2006,"2006200","16314"
1504,"2006400","35279"
1945,"2006500","17457"
729,"2006600","26994"
960,"2006700","17353"
26,"2006800","25966"
1131,"2006900","10576"
28,"2007000","32146"
1807,"2007100","36316"
1526,"2007200","31126"
786,"2007300","21545"
1040,"2007400","40654"
785,"2007500","20813"
784,"2007700","21958"
1254,"2007800","34353"
787,"2007900","14767"
2142,"2008100","0"
1938,"2008300","25886"
946,"2008400","39911"
1939,"2008500","18403"
1046,"2008600","14409"
956,"2008700","19615"
958,"2008800","16136"
29,"2008900","13007"
1634,"2009100","8750"
1255,"2009200","36589"
969,"2009400","40833"
2154,"2009700","2499"
746,"2009800","38642"
1864,"2009900","18931"
959,"2010200","20417"
1852,"2010500","9821"
1530,"2011000","9461"
1865,"2011501","18243"
1863,"2011502","14167"
1529,"2011800","57664"
1822,"2011900","16990"
41,"2012101","21424"
1810,"2012102","17688"
1793,"2012300","17906"
42,"2012500","27566"
43,"2012701","12342"
44,"2012702","19803"
1217,"2012901","13214"
1218,"2012902","7044"
1453,"2013000","48500"
45,"2013100","13281"
1063,"2013200","54509"
